Name,Field,Year
Narges Mohammadi,Peace Prize,2023
Jon Fosse,Literature,2023
Pierre Agostini,Physics,2023
Ferenc Krausz,Physics,2023
Anne L'Huillier,Physics,2023
Alexey Ekimov,Chemistry,2023
Louis E. Brus,Chemistry,2023
Moungi Bawendi,Chemistry,2023
Claudia Goldin,Economic Sciences,2023
Drew Weissman,Physiology or Medicine,2023
Katalin Karikó,Physiology or Medicine,2023
Ales Bialiatski,Peace Prize,2022
Memorial,Peace Prize,2022
Center for Civil Liberties,Peace Prize,2022
Annie Ernaux,Literature,2022
Alain Aspect,Physics,2022
Anton Zeilinger,Physics,2022
John Clauser,Physics,2022
Carolyn R. Bertozzi,Chemistry,2022
Karl Barry Sharpless,Chemistry,2022
Morten P. Meldal,Chemistry,2022
Philip H. Dybvig,Economic Sciences,2022
Douglas Diamond,Economic Sciences,2022
Ben S. Bernanke,Economic Sciences,2022
Svante Pääbo,Physiology or Medicine,2022
Dmitry Muratov,Peace Prize,2021
Maria Ressa,Peace Prize,2021
Abdulrazak Gurnah,Literature,2021
Klaus Hasselmann,Physics,2021
Giorgio Parisi,Physics,2021
Syukuro Manabe,Physics,2021
Benjamin List,Chemistry,2021
David MacMillan,Chemistry,2021
Guido lmbens,Economic Sciences,2021
David Card,Economic Sciences,2021
Joshua Angrist,Economic Sciences,2021
Ardem Patapoutian,Physiology or Medicine,2021
David Julius,Physiology or Medicine,2021
World Food Programme,Peace Prize,2020
Louise Glück,Literature,2020
Andrea M. Ghez,Physics,2020
Roger Penrose,Physics,2020
Reinhard Genzel,Physics,2020
Jennifer Doudna,Chemistry,2020
Emmanuelle Charpentier,Chemistry,2020
Robert B. Wilson,Economic Sciences,2020
Paul Milgrom,Economic Sciences,2020
Michael Houghton,Physiology or Medicine,2020
Charles M. Rice,Physiology or Medicine,2020
Harvey J. Alter,Physiology or Medicine,2020
